"Story","Title","Result","Date","Stability","Duration (s)"
"Cart - As a user I want to pay for the product So that I have to check the cart to pay","As a user, I want to add more product to the cart","SUCCESS","2023-05-08T18:01:47.087+07:00[Asia/Bangkok]","0.0","16.44"
"Cart - As a user I want to pay for the product So that I have to check the cart to pay","As a user, I want to pay the product","SUCCESS","2023-05-08T18:02:05.705+07:00[Asia/Bangkok]","0.0","11.88"
"Cart - As a user I want to pay for the product So that I have to check the cart to pay","As a user, I want to reduce the quantity of a product in the cart","SUCCESS","2023-05-08T18:02:18.294+07:00[Asia/Bangkok]","0.0","9.13"
"Cart - As a user I want to pay for the product So that I have to check the cart to pay","As a user, I want to delete product in the cart","SUCCESS","2023-05-08T18:02:28.316+07:00[Asia/Bangkok]","0.0","10.21"
"Cart - As a user I want to pay for the product So that I have to check the cart to pay","As a user, I want to see cart without login","SUCCESS","2023-05-08T18:02:39.994+07:00[Asia/Bangkok]","0.0","4.66"
"Login - As a user I want to buy some product So that I have to login","As a user, I login with valid email dan password","SUCCESS","2023-05-08T18:02:46.117+07:00[Asia/Bangkok]","0.0","5.47"
"Login - As a user I want to buy some product So that I have to login","As a user, I login with invalid email","SUCCESS","2023-05-08T18:02:56.597+07:00[Asia/Bangkok]","0.0","4.57"
"Login - As a user I want to buy some product So that I have to login","As a user, I login with invalid password","SUCCESS","2023-05-08T18:03:04.161+07:00[Asia/Bangkok]","0.0","3.89"
"Login - As a user I want to buy some product So that I have to login","As a user, I login without input email or password","SUCCESS","2023-05-08T18:03:08.749+07:00[Asia/Bangkok]","0.0","6.02"
"Login - As a user I want to buy some product So that I have to login","As a user, I login with invalid email and password","SUCCESS","2023-05-08T18:03:17.705+07:00[Asia/Bangkok]","0.0","4.38"
"Login - As a user I want to buy some product So that I have to login","As a user, I login without input email and password","SUCCESS","2023-05-08T18:03:22.779+07:00[Asia/Bangkok]","0.0","5.51"
"Logout - As a user I want to logout So that i can end my session","As a user I want to logout to end my session","SUCCESS","2023-05-08T18:03:29.44+07:00[Asia/Bangkok]","0.0","9.24"
"Product - As a user I want to buying a product So that I have to select product","As a user, I want to buy some product","SUCCESS","2023-05-08T18:03:39.877+07:00[Asia/Bangkok]","0.0","10.16"
"Product - As a user I want to buying a product So that I have to select product","As a user, I want to see detail product","SUCCESS","2023-05-08T18:03:50.777+07:00[Asia/Bangkok]","0.0","9.29"
"Product - As a user I want to buying a product So that I have to select product","As a user, I want to give rating the product","SUCCESS","2023-05-08T18:04:00.982+07:00[Asia/Bangkok]","0.0","10.21"
"Product - As a user I want to buying a product So that I have to select product","As a user, I want to search for products by categories","SUCCESS","2023-05-08T18:04:12.054+07:00[Asia/Bangkok]","0.0","9.33"
"Register - As a user I want to login So that I have to register account","As a user, I register with valid data","SUCCESS","2023-05-08T18:04:22.097+07:00[Asia/Bangkok]","0.0","6.65"
"Register - As a user I want to login So that I have to register account","As a user, I register with registered email","SUCCESS","2023-05-08T18:04:29.693+07:00[Asia/Bangkok]","0.0","6.18"
"Register - As a user I want to login So that I have to register account","As a user, I register with a weak password","SUCCESS","2023-05-08T18:04:36.973+07:00[Asia/Bangkok]","0.0","6.27"
"Register - As a user I want to login So that I have to register account","As a user, I register without filling name or email or password field","SUCCESS","2023-05-08T18:04:44.805+07:00[Asia/Bangkok]","0.0","5.63"
