"Story","Title","Result","Date","Stability","Duration (s)"
"Cart - As a user I want to pay for the product So that I have to check the cart to pay","As a user, I want to reduce the quantity of a product in the cart","SUCCESS","2023-05-03T16:03:44.58+07:00[Asia/Bangkok]","0.0","9.28"
"Cart - As a user I want to pay for the product So that I have to check the cart to pay","As a user, I want to delete product in the cart","SUCCESS","2023-05-03T16:03:54.594+07:00[Asia/Bangkok]","0.0","8.63"
"Login - As a user I want to buy some product So that I have to login","As a user, I login with valid email dan password","SUCCESS","2023-05-03T16:04:04.19+07:00[Asia/Bangkok]","0.0","4.06"
"Login - As a user I want to buy some product So that I have to login","As a user, I login with invalid email","SUCCESS","2023-05-03T16:04:09.032+07:00[Asia/Bangkok]","0.0","4.09"
"Login - As a user I want to buy some product So that I have to login","As a user, I login with invalid password","SUCCESS","2023-05-03T16:04:13.835+07:00[Asia/Bangkok]","0.0","4.32"
"Login - As a user I want to buy some product So that I have to login","As a user, I login without input email or password","SUCCESS","2023-05-03T16:04:18.875+07:00[Asia/Bangkok]","0.0","3.4"
"Login - As a user I want to buy some product So that I have to login","As a user, I login with invalid email and password","SUCCESS","2023-05-03T16:04:22.997+07:00[Asia/Bangkok]","0.0","4.0"
"Login - As a user I want to buy some product So that I have to login","As a user, I login without input email and password","SUCCESS","2023-05-03T16:04:27.7+07:00[Asia/Bangkok]","0.0","2.68"
"Product - As a user I want to buying a product So that I have to select product","As a user, I want to buy some product","SUCCESS","2023-05-03T16:04:31.217+07:00[Asia/Bangkok]","0.0","7.38"
"Product - As a user I want to buying a product So that I have to select product","As a user, I want to see detail product","SUCCESS","2023-05-03T16:04:39.332+07:00[Asia/Bangkok]","0.0","8.46"
"Product - As a user I want to buying a product So that I have to select product","As a user, I want to give rating the product","SUCCESS","2023-05-03T16:04:48.598+07:00[Asia/Bangkok]","0.0","8.08"
"Product - As a user I want to buying a product So that I have to select product","As a user, I want to search for products by categories","SUCCESS","2023-05-03T16:04:57.409+07:00[Asia/Bangkok]","0.0","7.73"
"Register - As a user I want to login So that I have to register account","As a user, I register with valid data","SUCCESS","2023-05-03T16:05:05.843+07:00[Asia/Bangkok]","0.0","5.07"
"Register - As a user I want to login So that I have to register account","As a user, I register with registered email","SUCCESS","2023-05-03T16:05:11.651+07:00[Asia/Bangkok]","0.0","4.25"
"Register - As a user I want to login So that I have to register account","As a user, I register with a weak password","SUCCESS","2023-05-03T16:05:16.603+07:00[Asia/Bangkok]","0.0","4.66"
"Register - As a user I want to login So that I have to register account","As a user, I register without filling name or email or password field","SUCCESS","2023-05-03T16:05:21.967+07:00[Asia/Bangkok]","0.0","4.17"
